TIME,OR1,OR2,OR3,deslogin,desoper,despublic,svn,eups,prodbeta,production
Sat Feb 20 02:42:07 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 03:12:21 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 03:42:36 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 04:12:52 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 04:43:08 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 05:13:22 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 05:43:37 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 06:13:50 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 06:44:03 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 07:14:18 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 07:44:31 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 08:14:46 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 08:24:39 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 08:25:47 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 08:55:48 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 09:26:00 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 09:56:11 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 10:26:24 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 10:56:36 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 11:26:46 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 11:56:58 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 12:27:09 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 12:57:22 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 13:27:32 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 13:57:44 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 14:27:56 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 14:58:06 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 15:28:17 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 15:58:28 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 16:28:40 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 16:58:51 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 17:29:04 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 17:59:15 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 18:29:29 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 18:59:40 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 19:29:52 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 20:00:03 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 20:30:14 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 21:00:26 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 21:30:37 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 22:00:49 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 22:30:59 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 23:01:11 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sat Feb 20 23:31:21 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 00:01:32 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 00:31:44 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 01:01:55 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 01:32:07 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 02:02:18 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 02:32:52 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 03:03:03 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 03:33:15 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 04:03:27 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 04:33:39 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 05:03:50 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 05:34:02 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 06:04:13 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 06:34:24 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 07:04:36 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 07:34:46 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 08:04:57 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 08:35:08 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sun Feb 21 09:05:20 2016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
